,sepal.length,sepal.width,petal.length,petal.width,Variedad,Ancho Est. Pétalo
59,5.2,2.7,3.9,1.4,Versicolor,0.26325997105386495
60,5.0,2.0,3.5,1.0,Versicolor,-0.2615107353658002
61,5.9,3.0,4.2,1.5,Versicolor,0.3944526476587814
62,6.0,2.2,4.0,1.0,Versicolor,-0.2615107353658002
63,6.1,2.9,4.7,1.4,Versicolor,0.26325997105386495
64,5.6,2.9,3.6,1.3,Versicolor,0.13206729444894882
65,6.7,3.1,4.4,1.4,Versicolor,0.26325997105386495
66,5.6,3.0,4.5,1.5,Versicolor,0.3944526476587814
67,5.8,2.7,4.1,1.0,Versicolor,-0.2615107353658002
68,6.2,2.2,4.5,1.5,Versicolor,0.3944526476587814
69,5.6,2.5,3.9,1.1,Versicolor,-0.13031805876088376
70,5.9,3.2,4.8,1.8,Versicolor,0.7880306774735304
71,6.1,2.8,4.0,1.3,Versicolor,0.13206729444894882
72,6.3,2.5,4.9,1.5,Versicolor,0.3944526476587814
73,6.1,2.8,4.7,1.2,Versicolor,0.0008746178440323878
74,6.4,2.9,4.3,1.3,Versicolor,0.13206729444894882
75,6.6,3.0,4.4,1.4,Versicolor,0.26325997105386495
76,6.8,2.8,4.8,1.4,Versicolor,0.26325997105386495
77,6.7,3.0,5.0,1.7,Versicolor,0.656838000868614
78,6.0,2.9,4.5,1.5,Versicolor,0.3944526476587814
79,5.7,2.6,3.5,1.0,Versicolor,-0.2615107353658002
80,5.5,2.4,3.8,1.1,Versicolor,-0.13031805876088376
81,5.5,2.4,3.7,1.0,Versicolor,-0.2615107353658002
82,5.8,2.7,3.9,1.2,Versicolor,0.0008746178440323878
83,6.0,2.7,5.1,1.6,Versicolor,0.5256453242636978
84,5.4,3.0,4.5,1.5,Versicolor,0.3944526476587814
85,6.0,3.4,4.5,1.6,Versicolor,0.5256453242636978
86,6.7,3.1,4.7,1.5,Versicolor,0.3944526476587814
87,6.3,2.3,4.4,1.3,Versicolor,0.13206729444894882
88,5.6,3.0,4.1,1.3,Versicolor,0.13206729444894882
89,5.5,2.5,4.0,1.3,Versicolor,0.13206729444894882
90,5.5,2.6,4.4,1.2,Versicolor,0.0008746178440323878
91,6.1,3.0,4.6,1.4,Versicolor,0.26325997105386495
92,5.8,2.6,4.0,1.2,Versicolor,0.0008746178440323878
93,5.0,2.3,3.3,1.0,Versicolor,-0.2615107353658002
94,5.6,2.7,4.2,1.3,Versicolor,0.13206729444894882
95,5.7,3.0,4.2,1.2,Versicolor,0.0008746178440323878
96,5.7,2.9,4.2,1.3,Versicolor,0.13206729444894882
97,6.2,2.9,4.3,1.3,Versicolor,0.13206729444894882
98,5.1,2.5,3.0,1.1,Versicolor,-0.13031805876088376
99,5.7,2.8,4.1,1.3,Versicolor,0.13206729444894882
100,6.3,3.3,6.0,2.5,Virginica,1.7063794137079447
101,5.8,2.7,5.1,1.9,Virginica,0.9192233540784466
102,7.1,3.0,5.9,2.1,Virginica,1.1816087072882795
103,6.3,2.9,5.6,1.8,Virginica,0.7880306774735304
104,6.5,3.0,5.8,2.2,Virginica,1.3128013838931958
105,7.6,3.0,6.6,2.1,Virginica,1.1816087072882795
106,4.9,2.5,4.5,1.7,Virginica,0.656838000868614
107,7.3,2.9,6.3,1.8,Virginica,0.7880306774735304
108,6.7,2.5,5.8,1.8,Virginica,0.7880306774735304
109,7.2,3.6,6.1,2.5,Virginica,1.7063794137079447
110,6.5,3.2,5.1,2.0,Virginica,1.050416030683363
111,6.4,2.7,5.3,1.9,Virginica,0.9192233540784466
112,6.8,3.0,5.5,2.1,Virginica,1.1816087072882795
113,5.7,2.5,5.0,2.0,Virginica,1.050416030683363
114,5.8,2.8,5.1,2.4,Virginica,1.5751867371030281
115,6.4,3.2,5.3,2.3,Virginica,1.4439940604981116
116,6.5,3.0,5.5,1.8,Virginica,0.7880306774735304
117,7.7,3.8,6.7,2.2,Virginica,1.3128013838931958
118,7.7,2.6,6.9,2.3,Virginica,1.4439940604981116
119,6.0,2.2,5.0,1.5,Virginica,0.3944526476587814
120,6.9,3.2,5.7,2.3,Virginica,1.4439940604981116
121,5.6,2.8,4.9,2.0,Virginica,1.050416030683363
122,7.7,2.8,6.7,2.0,Virginica,1.050416030683363
123,6.3,2.7,4.9,1.8,Virginica,0.7880306774735304
124,6.7,3.3,5.7,2.1,Virginica,1.1816087072882795
125,7.2,3.2,6.0,1.8,Virginica,0.7880306774735304
126,6.2,2.8,4.8,1.8,Virginica,0.7880306774735304
127,6.1,3.0,4.9,1.8,Virginica,0.7880306774735304
128,6.4,2.8,5.6,2.1,Virginica,1.1816087072882795
129,7.2,3.0,5.8,1.6,Virginica,0.5256453242636978
130,7.4,2.8,6.1,1.9,Virginica,0.9192233540784466
131,7.9,3.8,6.4,2.0,Virginica,1.050416030683363
132,6.4,2.8,5.6,2.2,Virginica,1.3128013838931958
133,6.3,2.8,5.1,1.5,Virginica,0.3944526476587814
134,6.1,2.6,5.6,1.4,Virginica,0.26325997105386495
135,7.7,3.0,6.1,2.3,Virginica,1.4439940604981116
136,6.3,3.4,5.6,2.4,Virginica,1.5751867371030281
137,6.4,3.1,5.5,1.8,Virginica,0.7880306774735304
138,6.0,3.0,4.8,1.8,Virginica,0.7880306774735304
139,6.9,3.1,5.4,2.1,Virginica,1.1816087072882795
140,6.7,3.1,5.6,2.4,Virginica,1.5751867371030281
141,6.9,3.1,5.1,2.3,Virginica,1.4439940604981116
142,5.8,2.7,5.1,1.9,Virginica,0.9192233540784466
143,6.8,3.2,5.9,2.3,Virginica,1.4439940604981116
144,6.7,3.3,5.7,2.5,Virginica,1.7063794137079447
145,6.7,3.0,5.2,2.3,Virginica,1.4439940604981116
146,6.3,2.5,5.0,1.9,Virginica,0.9192233540784466
147,6.5,3.0,5.2,2.0,Virginica,1.050416030683363
148,6.2,3.4,5.4,2.3,Virginica,1.4439940604981116
149,5.9,3.0,5.1,1.8,Virginica,0.7880306774735304
